damage_level,image_path,num_detections,centroids
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00023.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00024.jpg,1,"[(356.6695556640625, 211.38894653320312)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00025.jpg,1,"[(356.3760681152344, 195.34495544433594)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00026.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00027.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00028.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00029.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00030.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00031.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00032.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00033.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00034.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00035.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00036.jpg,1,"[(356.5181579589844, 212.30694580078125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00037.jpg,1,"[(355.27557373046875, 188.1912078857422)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00038.jpg,1,"[(354.0662841796875, 171.53941345214844)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00039.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00040.jpg,1,"[(357.01947021484375, 190.1981201171875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00041.jpg,2,"[(350.92340087890625, 205.13140869140625), (352.978759765625, 202.60467529296875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00042.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00043.jpg,1,"[(348.44879150390625, 188.83792114257812)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00044.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00045.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00046.jpg,1,"[(359.7110595703125, 216.1702880859375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00047.jpg,1,"[(364.99560546875, 229.3841552734375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00048.jpg,1,"[(364.0347900390625, 209.62008666992188)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00049.jpg,1,"[(350.51666259765625, 173.07362365722656)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00050.jpg,1,"[(355.9903564453125, 183.00137329101562)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00051.jpg,1,"[(352.91973876953125, 180.56600952148438)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00052.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00053.jpg,1,"[(357.33258056640625, 213.78945922851562)]"
